#,name,name_ko,type,category,area,used_on,hours (regular),closed,booking,address_ko (show taxi driver),phone,lat,lng,google_maps,kakao_map
85,Gentle Monster Flagship Store Sinsa,GENTLE MONSTER SEOUL SINSA,shop,Sunglasses store,Apgujeong · Dosan · Sinsa,,Daily 11:00–21:00,,,서울 강남구 압구정로10길 23 1층 (신사동),070-5080-0196,37.5220948,127.0220341,https://maps.google.com/?cid=15098701440498265731,https://place.map.kakao.com/26897232
86,Bunker Company Apgujeong,벙커컴퍼니 압구정점,coffee,Coffee shop,Apgujeong · Dosan · Sinsa,Day 10,Daily 08:30–21:00,,,서울 강남구 언주로167길 23 1-2층 (신사동),02-540-1456,37.5263607,127.0311998,https://maps.google.com/?cid=16973988264608003411,https://place.map.kakao.com/1791629406
87,NYU NYU House,NYU NYU House,shop,Fashion accessories store,Seongsu,,Daily 10:00–23:00,,,"서울 성동구 성수이로 93 지하1층, 1-3층 (성수동2가)",,37.5434177,127.056581,https://maps.google.com/?cid=4772329422484864349,https://place.map.kakao.com/1882765768
88,Shake Shack Jonggak,쉐이크쉑 종각점,food,Hamburger restaurant,Deoksugung · City Hall,Day 6,"Mon–Thu,Sun 10:30–22:30; Fri–Sat 10:30–23:00",,,서울 종로구 종로 33 그랑서울 1층 122~135호 (청진동),02-2158-7575,37.570472699999996,126.9815204,https://maps.google.com/?cid=11487764860919177104,https://place.map.kakao.com/2038128499
89,Shake Shack Hongdae,쉐이크쉑 홍대점,food,Hamburger restaurant,Hongdae · Yeonnam · Yeonhui,,"Mon–Thu,Sun 10:30–22:30; Fri–Sat 10:30–23:00",,,서울 마포구 양화로 186 LC타워 1층 101호 (동교동),02-323-0916,37.5579993,126.9257181,https://maps.google.com/?cid=9176095299050298998,https://place.map.kakao.com/136268965
90,Paper Plate,페이퍼 플레이트,food,Pizza restaurant,Seongsu,Day 15,Daily 11:30–21:00,,reservable (Kakao),서울 성동구 성수이로14길 15 1층 (성수동2가),02-499-0304,37.541720399999996,127.05668109999999,https://maps.google.com/?cid=10917280483403130665,https://place.map.kakao.com/632570382
91,AMORE Seongsu,아모레성수,skincare,Shopping mall,Seongsu,Day 9,Tue–Sun 10:30–20:30; closed Mon,Mon,reservable (Kakao),서울 성동구 아차산로11길 7 (성수동2가),02-469-8600,37.5444101,127.0591197,https://maps.google.com/?cid=11943377214744422720,https://place.map.kakao.com/247906074
92,Swallow Lounge,스왈로우라운지 성수,shop,Clothing store,Seongsu,,hours unknown,,,서울 성동구 성수이로 117 1층 (성수동2가),,37.545526599999995,127.05703369999999,https://maps.google.com/?cid=6990575353335046417,https://place.map.kakao.com/1270873806
93,Kodak Center Shop,Kodak Center Shop,shop,Gift shop,Namsan · Myeongdong,Day 14,Daily 11:00–22:00,,,서울 중구 명동8길 13 1-2층 (명동2가),031-8060-0291,37.5631273,126.98465689999999,https://maps.google.com/?cid=14294501434894189064,https://place.map.kakao.com/1662355611
94,Kodak Corner Shop,코닥 코너숍,shop,Clothing store,Seongsu,,Daily 10:30–20:30,,,서울 성동구 연무장7길 3-1 1-2층 (성수동2가),+82 50-71354-7297,37.5431112,127.0543075,https://maps.google.com/?cid=10063801407359815845,https://place.map.kakao.com/1003781553
95,Point of View,"POINT OF VIEW, 포인트 오브 뷰",shop,Stationery store,Seongsu,,Daily 12:00–20:00,,,서울 성동구 연무장길 18 1~3층 (성수동1가),02-462-0018,37.5434188,127.051374,https://maps.google.com/?cid=8411587396190321932,https://place.map.kakao.com/1353841922
96,samuel smalls,samuel smalls,shop,Home goods store,Seongsu,,Daily 13:00–19:30,,,서울 성동구 연무장5가길 25 지하1층 B108호 (성수동2가),02-2135-5655,37.5435802,127.0556438,https://maps.google.com/?cid=11078669494701938678,https://place.map.kakao.com/729355240
97,Brewing Ceremony,브루잉 세레모니,coffee,Cafe,Seongsu,,Daily 11:00–21:00,,,서울 성동구 연무장5가길 22-1 1층 (성수동2가),0507-1317-4771,37.543267,127.05514409999999,https://maps.google.com/?cid=113351586431260632,https://place.map.kakao.com/804984272
98,Ongredients InnerGlow VIP Lounge,Ongredients InnerGlow VIP Lounge,skincare,Cosmetics store,Seongsu,,Daily 11:00–20:00,,,서울 성동구 연무장17길 4 (성수동2가),,37.5409685,127.06113389999999,https://maps.google.com/?cid=4018991321795358659,https://place.map.kakao.com/1412338471
99,LOW CLASSIC Seongsu,LOW CLASSIC Seongsu 86,shop,Clothing store,Seongsu,,Daily 12:00–20:00,,,서울 성동구 연무장길 86 (성수동2가),02-462-3330,37.541308799999996,127.0586831,https://maps.google.com/?cid=14841746629865270166,https://place.map.kakao.com/64863789
100,CUEREN Seongsu Signature Store,CUEREN 쿠에른 성수,shop,Shoe store,Seongsu,,Daily 10:00–22:00,,,서울 성동구 성수이로 71 주1동 (성수동2가),02-461-0811,37.541629,127.05579909999999,https://maps.google.com/?cid=11501460099753499053,https://place.map.kakao.com/862812530
101,BLUE ELEPHANT SEONGSU FLAGSHIP STORE,블루엘리펀트 성수 플래그십스토어,shop,Sunglasses store,Seongsu,,Daily 12:00–22:00,,,서울 성동구 연무장길 13 2-3층 (성수동2가),,37.5437612,127.05116029999999,https://maps.google.com/?cid=10782467668526389028,https://place.map.kakao.com/1882613210
102,repertory 레퍼토리,repertory 레퍼토리,shop,Store,Seongsu,Day 7,Daily 11:30–20:00,,,서울 성동구 연무장길 49 나동 1층 3호 (성수동2가),02-462-0344,37.5427587,127.055043,https://maps.google.com/?cid=955105521803782571,https://place.map.kakao.com/1161898798
103,SW19 Seongsu,SW19 Seongsu,skincare,Perfume store,Seongsu,,Daily 11:00–21:00,,,서울 성동구 연무장길 57 1층 (성수동2가),070-4140-1919,37.542384,127.05571959999999,https://maps.google.com/?cid=4724779708147889891,https://place.map.kakao.com/361393379
104,29cm home,이구홈 성수,shop,Home goods store,Seongsu,,Daily 11:00–22:00,,,서울 성동구 연무장길 57 (성수동2가),02-1660-2902,37.5425599,127.05575789999999,https://maps.google.com/?cid=13259399922311660843,https://place.map.kakao.com/1837070052
105,Neungdong Minari,능동미나리 신용산,food,Korean restaurant,Yongsan · Itaewon · Hannam,Day 1,Mon–Fri 10:00–23:00; Sat–Sun 09:30–23:00,,reservable (Kakao),서울 용산구 한강대로40길 28 1-2층 (한강로2가),02-790-1026,37.530085299999996,126.9707875,https://maps.google.com/?cid=7694039245334194402,https://place.map.kakao.com/596181447
106,Neungdong Minari Seongsu,능동미나리 성수,food,Korean restaurant,Seongsu,Day 7,Mon–Fri 09:30–24:00; Sat–Sun 09:00–24:00,,,서울 성동구 연무장길 42 1-2층 (성수동2가),02-2088-2435,37.542747999999996,127.05396069999999,https://maps.google.com/?cid=7279226639817340713,https://place.map.kakao.com/134670855
107,Bossanova Coffee Roaster Seongsu,Bossanova Coffee Roaster Seongsu,coffee,Coffee shop,Seoul Forest,,hours unknown,,,"Bossanova Coffee Roaster Seongsu, 656-308 성수동1가 성동구 서울특별시 대한민국",,37.5473277,127.0460411,https://maps.google.com/?cid=6412248203472185317,
108,Thweet Seongsu,쓰윗 성수 (Thweet Seongsu),dessert,Cafe,Seongsu,Day 7,Tue–Sun 12:00–24:00; closed Mon,Mon,reservable (Kakao),서울 성동구 연무장3길 12 1층 (성수동2가),070-4099-7408,37.5446613,127.051779,https://maps.google.com/?cid=17620078560726734808,https://place.map.kakao.com/1731130818
109,CU Convenience Store,CU Convenience Store,shop,Convenience store,Namsan · Myeongdong,,hours unknown,,,서울 중구 명동8나길 38 지하1층 근생-3호 (충무로1가),,37.5618069,126.9827626,https://maps.google.com/?cid=6980609274233901653,https://place.map.kakao.com/1721147520
110,Gyeongbokgung Palace,경복궁,sight,Cultural landmark,Seochon · Gyeongbokgung,"Day 3, Day 11",hours unknown,,reservable (Kakao),서울 종로구 세종로 1-1,+82 2-3700-3900,37.579617,126.977041,https://maps.google.com/?cid=10029593693201569270,https://place.map.kakao.com/18619551
111,Apgujeong Rodeo Street,압구정 로데오거리,sight,Tourist attraction,Apgujeong · Dosan · Sinsa,,hours unknown,,reservable (Kakao),서울 강남구 신사동 668-33,,37.5273682,127.0380228,https://maps.google.com/?cid=5239474586710322674,https://place.map.kakao.com/7990409
112,NYU NYU,뉴뉴 성수점,shop,Clothing store,Seongsu,,Daily 10:00–23:00,,,서울 성동구 연무장길 89 2-3층 (성수동2가),010-5599-6925,37.5415196,127.0592971,https://maps.google.com/?cid=16731729276169053063,https://place.map.kakao.com/1273761412
113,Kith Seoul,키스 서울,shop,Clothing store,Seongsu,Day 7,Daily 11:00–20:00,,,서울 성동구 연무장길 70 (성수동2가),070-7209-1431,37.541768,127.0570027,https://maps.google.com/?cid=11458411639628505421,https://place.map.kakao.com/2062309664
114,"살로몬 성수 (SALOMON, 萨洛蒙, サロモン)","살로몬 성수 (SALOMON, 萨洛蒙, サロモン)",shop,Outdoor clothing and equipment shop,Seongsu,,Daily 10:30–21:00,,,서울 성동구 연무장길 89 1층 (성수동2가),02-6216-0711,37.5414239,127.05909589999999,https://maps.google.com/?cid=470524241011591558,https://place.map.kakao.com/11514602
115,Ggupdang Seongsu,꿉당 성수점,food,Barbecue restaurant,Seongsu,Day 7,Mon–Fri 15:00–23:00; Sat–Sun 12:00–23:00,,https://www.catchtable.net/shop/ggupdang_seongsu?ct-referrer=google-maps,서울 성동구 성수이로20길 10 1층 (성수동2가),+82 50-71358-6564,37.5432243,127.057537,https://maps.google.com/?cid=16204548897865048625,https://place.map.kakao.com/239928138
116,Beaker Flagship Store,비이커 성수플래그십스토어,shop,Clothing store,Seongsu,Day 7,Daily 11:00–20:00,,,서울 성동구 연무장길 7-1 1층 (성수동2가),02-464-4750,37.5439657,127.05047979999999,https://maps.google.com/?cid=7225742117015155721,https://place.map.kakao.com/1911990850
117,HEYTHEY,HEYTHEY,shop,Women's clothing store,Seongsu,,Mon–Fri 11:30–20:30; Sat 11:00–21:00; Sun 12:00–21:00,,,서울 성동구 연무장길 9-1 1층 (성수동2가),,37.5439298,127.0507312,https://maps.google.com/?cid=12502863584303861213,https://place.map.kakao.com/543485105
118,벨리에 서울숲,벨리에 서울,shop,Clothing store,Seoul Forest,,Daily 12:00–20:00,,,서울 성동구 서울숲2길 37 2층 (성수동1가),070-8805-7711,37.5466044,127.04269479999999,https://maps.google.com/?cid=7651702685787527188,https://place.map.kakao.com/459651509
119,라프레플루트,라프레플루트,dessert,Cafe,Seoul Forest,Day 9,"Mon–Thu 13:00–19:00; Fri,Sun 13:00–20:00; Sat 13:00–21:00",,https://www.catchtable.net/shop/rafre_fruit?ct-referrer=google-maps,서울 성동구 서울숲2길 8-8 2층 (성수동1가),+82 50-71383-7415,37.5472477,127.0394561,https://maps.google.com/?cid=562516267225097884,https://place.map.kakao.com/519985882
120,Juuneedu Showroom,쥬니쥬 서울숲점,shop,Clothing store,Seoul Forest,Day 9,Daily 12:00–19:30,,,서울 성동구 서울숲2길 8-11 (성수동1가),070-8832-7089,37.547109299999995,127.03958259999999,https://maps.google.com/?cid=18285938966361526149,https://place.map.kakao.com/1102938225
121,내러티브오브젝트,내러티브오브젝트,shop,Asian household goods store,Seoul Forest,Day 15,Tue–Sun 12:00–18:00; closed Mon,Mon,,서울 성동구 서울숲2길 24-7 포대빌딩 1층 (성수동1가),0502-5550-4522,37.5467459,127.0412121,https://maps.google.com/?cid=8108240413448795610,https://place.map.kakao.com/1311851952
122,Poset Seongsu,포셋 성수,shop,General store,Seoul Forest,,Tue–Sun 12:00–20:00; closed Mon,Mon,,서울 성동구 서울숲길 36 201~202호 (성수동1가),02-464-0080,37.547818899999996,127.04131059999999,https://maps.google.com/?cid=6839112302083919618,https://place.map.kakao.com/326503944
123,Poset Yeonhui,포셋 연희,shop,Stationery store,Hongdae · Yeonnam · Yeonhui,Day 3,Tue–Sun 12:00–20:00; closed Mon,Mon,,서울 서대문구 증가로 18 연희빌딩 3층 305호 (연희동),02-3141-7427,37.5699642,126.93124859999999,https://maps.google.com/?cid=15321789745179228685,https://place.map.kakao.com/218862683
124,Archivépke,Archivépke,shop,Shoe store,Seoul Forest,,Daily 11:00–20:00,,,서울 성동구 서울숲4길 7 (성수동1가),02-6397-0917,37.5477079,127.0418277,https://maps.google.com/?cid=15451805257649900981,https://place.map.kakao.com/620154262
125,사브르스토어 성수(SABRE Store Seong-su),사브르스토어 성수(SABRE Store Seong-su),shop,Kitchen supply store,Seoul Forest,Day 15,Daily 11:00–20:00,,,서울 성동구 서울숲4길 20 (성수동1가),+82 2-466-1906,37.547157299999995,127.043066,https://maps.google.com/?cid=2238091631941449136,https://place.map.kakao.com/299312559
126,Guzz Seoulsup,Guzz Seoulsup,shop,General store,Seoul Forest,,hours unknown,,,"Guzz Seoulsup, 38-1 서울숲2길 성동구 서울특별시 대한민국",,37.5463866,127.0428773,https://maps.google.com/?cid=5548069579332941428,
127,Nanpo Seongsu,난포 성수,food,Fusion restaurant,Seoul Forest,Day 9,Mon–Fri 11:00–21:30 (break 15:50~17:00); Sat–Sun 11:00–21:30,,https://www.catchtable.net/shop/nanpo?ct-referrer=google-maps,서울 성동구 서울숲4길 18-8 지층 (성수동1가),02-468-1540,37.5470208,127.04273269999999,https://maps.google.com/?cid=12983679674172940586,https://place.map.kakao.com/2025402668
128,danil seoul,단일 서울,coffee,Coffee shop,Seoul Forest,Day 15,Mon–Fri 09:00–21:00; Sat–Sun 10:00–20:00,,,서울 성동구 왕십리로 66-33 1층 (성수동1가),02-461-9779,37.5430007,127.0454699,https://maps.google.com/?cid=15851069861476631815,https://place.map.kakao.com/1926018643
129,멘드의원,멘드의원,skincare,Plastic surgery clinic,Yongsan · Itaewon · Hannam,,Mon–Thu 10:00–18:00; Fri 10:00–21:00; Sat 09:30–13:30; closed Sun,Sun,,서울 용산구 독서당로 70 현대리버티하우스 305호 (한남동),02-595-5110,37.5335402,127.00864849999999,https://maps.google.com/?cid=16469767030255796539,https://place.map.kakao.com/2137759997
130,Human Made Seoul Cafe by Blue Bottle Coffee,휴먼 메이드 서울 카페 바이 블루보틀 커피,coffee,Coffee shop,Seongsu,,Daily 11:00–19:00,,,서울 성동구 성수이로7길 39 2층 (성수동2가),1533-6906,37.542512599999995,127.0532717,https://maps.google.com/?cid=6339152553762671269,https://place.map.kakao.com/196139841
131,Coffee Nap Roastery,커피냅로스터스 성수,bar,Coffee shop,Seongsu,Day 7,Daily 09:00–21:00,,,서울 성동구 성수일로4길 35-12 (성수동2가),02-466-4131,37.542267599999995,127.0531123,https://maps.google.com/?cid=1838253273445995268,https://place.map.kakao.com/756927927
132,Torriden Connect,토리든 커넥트 성수,skincare,Cosmetics store,Seongsu,,Daily 11:00–20:00,,reservable (Kakao),서울 성동구 성수이로7가길 17 (성수동2가),,37.541829199999995,127.0552864,https://maps.google.com/?cid=4738851559667347899,https://place.map.kakao.com/1687000369
133,Jayeondo Sogeumppang (Salt Bread) in Dosan,자연도 소금빵 in 도산,dessert,Bakery,Apgujeong · Dosan · Sinsa,Day 10,Daily 09:00–22:00,,reservable (Kakao),서울 강남구 도산대로49길 41 1층 (신사동),02-512-2245,37.5257273,127.0368946,https://maps.google.com/?cid=7786763551328875817,https://place.map.kakao.com/81925925
134,Jayeondo Sogeumppang (Salt Bread) in Seongsu,자연도소금빵 성수점,dessert,Bakery,Seongsu,,Daily 09:00–22:00,,,서울 성동구 연무장길 56-1 1층 (성수동2가),+82 2-463-2245,37.542301699999996,127.05545819999999,https://maps.google.com/?cid=5270038422608661278,https://place.map.kakao.com/134679676
135,Jayeondo Sogeumppang (Salt Bread) & Jayeondoga,자연도소금빵&자연도가,dessert,Bakery,Samcheong · Anguk · Ikseon,"Day 6, Day 11",Daily 09:00–22:00,,,서울 종로구 수표로28길 21-17 1층 (익선동),+82 2-743-2245,37.573700699999996,126.9896957,https://maps.google.com/?cid=15584972206352472780,https://place.map.kakao.com/1990677632
136,MoonMoon,문문,food,Restaurant,Gwangjang · Dongdaemun,Day 11,"Mon,Wed–Fri 18:30–24:00; Sat–Sun 17:00–24:00; closed Tue",Tue,https://www.catchtable.net/shop/munmun?ct-referrer=google-maps,서울 종로구 종로63다길 2 1층 1호 (숭인동),010-6891-9404,37.5744665,127.0185648,https://maps.google.com/?cid=5637873010170935118,https://place.map.kakao.com/144393758
137,War Memorial of Korea,전쟁기념관,museum,War museum,Yongsan · Itaewon · Hannam,Day 10,"Tue,Thu–Sun 09:00–18:00; Wed 09:00–20:00; closed Mon",Mon,,서울 용산구 이태원로 29 2층 (용산동1가),02-709-3114,37.5366131,126.97710679999999,https://maps.google.com/?cid=16255340004596389792,https://place.map.kakao.com/12421790
138,National Museum of Korea,국립중앙박물관,museum,National museum,Yongsan · Itaewon · Hannam,Day 1,"Mon–Tue,Thu–Fri,Sun 09:30–17:30; Wed,Sat 09:30–21:00",,reservable (Kakao),서울 용산구 서빙고로 137 (용산동6가),02-2077-9000,37.523850599999996,126.9804702,https://maps.google.com/?cid=7017319361445515495,https://place.map.kakao.com/8830150
139,Starfield Suwon,스타필드 수원,shop,Shopping mall,Outside Seoul,,Daily 10:00–22:00,,,경기 수원시 장안구 수성로 175 8층 (정자동),+82 1833-9001,37.2873665,126.99120749999999,https://maps.google.com/?cid=9983073111356244309,https://place.map.kakao.com/2055543083
140,Starfield Coex Mall,스타필드 코엑스몰,shop,Shopping mall,COEX · Samseong,Day 5,hours unknown,,,서울 강남구 영동대로 513 지하1-지하2층 (삼성동),+82 2-6002-5300,37.5118346,127.0597871,https://maps.google.com/?cid=12747406373442709203,https://place.map.kakao.com/1705633882
141,Starfield Library,별마당 도서관,sight,Library,COEX · Samseong,Day 5,Daily 10:30–22:00,,,서울 강남구 삼성동 159-9 지하1층-1층,02-6002-3031,37.5100586,127.0601188,https://maps.google.com/?cid=3143025846765073303,https://place.map.kakao.com/2104663194
142,Olive Young,올리브영 두타점,skincare,Cosmetics store,Gwangjang · Dongdaemun,,Daily 10:30–24:00,,https://www.catchtable.net/shop/oliveyoung_dt?ct-referrer=google-maps,서울 중구 장충단로 275 지하2층 (을지로6가),1577-4887,37.5688137,127.0087526,https://maps.google.com/?cid=1377193006706274061,https://place.map.kakao.com/11910202
143,OLIVE YOUNG Central Myeongdong Town Branch,올리브영 센트럴 명동 타운,skincare,Cosmetics store,Namsan · Myeongdong,,Daily 10:00–22:30,,,서울 중구 명동8길 27 엠플라자 2층 (명동2가),010-2590-8648,37.5625274,126.9849507,https://maps.google.com/?cid=2006330656480357785,https://place.map.kakao.com/807585451
144,Olive Young Myeongdong Town,올리브영 명동 타운,skincare,Cosmetics store,Namsan · Myeongdong,Day 14,Daily 10:00–22:30,,,서울 중구 명동길 53 1-2층 (명동1가),1577-4887,37.563946,126.9851624,https://maps.google.com/?cid=2221994947731337770,https://place.map.kakao.com/23445796
145,Peer Coffee Roasters,피어커피 광희문,coffee,Cafe,Gwangjang · Dongdaemun,,Mon–Tue 10:30–20:30; Wed–Fri 10:30–18:30; Sat–Sun 10:00–21:00,,,서울 중구 청구로 123 1-2층 (신당동),070-4154-1464,37.5627616,127.01022979999999,https://maps.google.com/?cid=6419105181772081187,https://place.map.kakao.com/610993395
146,HAUS NOWHERE SEOUL,하우스 노웨어 서울,shop,,Seongsu,Day 7,Daily 11:00–21:00,,,서울 성동구 뚝섬로 433 (성수동2가),+82 1644-5704,37.5380654,127.0589486,https://maps.google.com/?cid=11024166780843768968,https://place.map.kakao.com/735193716
147,BHC Chicken,BHC치킨 자양3동점,food,Fried chicken takeaway,Ttukseom · Konkuk,Day 4,Daily 09:00–03:00,,,서울 광진구 자양번영로 21 1층 (자양동),0503-7151-7861,37.5314839,127.0749779,https://maps.google.com/?cid=15602189635607075293,https://place.map.kakao.com/1661657395
148,Ttukseom Hangang Park,뚝섬한강공원,park,Park,Ttukseom · Konkuk,Day 4,Tue–Sun 12:00–21:00; closed Mon,Mon,reservable (Kakao),서울 광진구 자양동 435,02-3780-0521,37.529350699999995,127.0699562,https://maps.google.com/?cid=9887225714262480147,https://place.map.kakao.com/17556235
149,Manufact Coffee Yeonhui,매뉴팩트커피 연희본점,coffee,Coffee shop,Hongdae · Yeonnam · Yeonhui,Day 3,Daily 08:30–18:30,,,서울 서대문구 연희로11길 29 1-2층 (연희동),02-6406-8777,37.567782799999996,126.92960819999999,https://maps.google.com/?cid=17405316689368651143,https://place.map.kakao.com/21542432
150,매뉴팩트커피 서촌,매뉴팩트커피 서촌,coffee,Coffee shop,Seochon · Gyeongbokgung,Day 14,Mon–Fri 08:00–18:00; Sat–Sun 08:00–19:30,,,서울 종로구 필운대로3길 1 1층 (누하동),+82 2-733-6406,37.5786423,126.9688439,https://maps.google.com/?cid=16274901936022496571,https://place.map.kakao.com/1730013556
151,LowKey Seongsu,로우키 성수,coffee,Cafe,Seongsu,,Daily 10:00–20:00,,,서울 성동구 연무장3길 6 1층 (성수동2가),070-8824-2010,37.5441954,127.05158379999999,https://maps.google.com/?cid=13305520084544420330,https://place.map.kakao.com/1302549042
152,OLIVE YOUNG Seongsu stn.,올리브영 성수역점,skincare,Cosmetics store,Seongsu,,Mon–Fri 08:30–22:30; Sat–Sun 10:00–22:30,,,서울 성동구 아차산로 91 1층 (성수동2가),1577-4887,37.5452796,127.0544869,https://maps.google.com/?cid=15988475175247324747,https://place.map.kakao.com/27197084
153,성수레디영약국,성수레디영약국,skincare,Pharmacy,Seongsu,,Daily 10:00–23:00,,,서울 성동구 성수일로6길 47 (성수동2가),02-467-7636,37.5442746,127.05532219999999,https://maps.google.com/?cid=10084371599755783504,https://place.map.kakao.com/237584074
154,돈골약방 豚骨藥房 Don Gol Yag Bang,돈골약방 豚骨藥房 Don Gol Yag Bang,food,Korean restaurant,Seongsu,Day 7,Mon–Sat 11:00–21:00 (break 15:00~17:00); closed Sun,Sun,,서울 성동구 성수일로8길 28 1층 (성수동2가),070-8118-1751,37.5459108,127.0534388,https://maps.google.com/?cid=10503010059423788749,https://place.map.kakao.com/698746976
155,Gwangjang Market,광장시장,market,Traditional market,Gwangjang · Dongdaemun,Day 6,Daily 09:00–18:00,,,서울 종로구 창경궁로 88 (예지동),02-2267-0291,37.570038499999995,126.99960379999999,https://maps.google.com/?cid=15444711502569316164,https://place.map.kakao.com/27383851
156,Gyeongui Line Forest Park,경의선숲길공원,park,City park,Hongdae · Yeonnam · Yeonhui,Day 3,hours unknown,,,서울 마포구 동교동 190-1,02-719-8830,37.558886799999996,126.92542739999999,https://maps.google.com/?cid=8271197056472690360,https://place.map.kakao.com/1158487374
157,Onion Cafe Gwangjang Market Branch,어니언 광장시장,coffee,Coffee shop,Gwangjang · Dongdaemun,Day 6,Daily 11:00–24:00,,,서울 종로구 청계천로 215 1층 (종로5가),070-4488-3317,37.5697865,127.0015042,https://maps.google.com/?cid=16483001005606592790,https://place.map.kakao.com/1021356734
158,Cafe Onion Anguk,어니언 안국점,coffee,Cafe,Samcheong · Anguk · Ikseon,"Day 6, Day 11",Mon–Fri 07:00–22:00; Sat–Sun 09:00–22:00,,,서울 종로구 계동길 5 1층 (계동),070-7543-2123,37.5776235,126.98655409999999,https://maps.google.com/?cid=5123135895525407385,https://place.map.kakao.com/853028118
159,shenanigans irish pub,shenanigans irish pub,bar,Irish pub,Yongsan · Itaewon · Hannam,,"Mon,Wed–Thu 16:00–01:00; Fri 16:00–03:00; Sat 15:00–03:00; Sun 15:00–01:00; closed Tue",Tue,,서울 용산구 이태원로19길 5 2층 (이태원동),+82 2-792-2550,37.5346906,126.99176279999999,https://maps.google.com/?cid=14582529974202911844,https://place.map.kakao.com/26923097
160,N Seoul Tower,N서울타워,sight,Tourist attraction,Namsan · Myeongdong,"Day 3, Day 11",Daily 11:00–22:00,,reservable (Kakao),서울 용산구 남산공원길 105 N서울타워 T2층 (용산동2가),02-3455-9220,37.5511694,126.98822659999999,https://maps.google.com/?cid=6699200636580889253,https://place.map.kakao.com/22762956
161,Gwanghwamun Square,광화문광장,sight,Historical landmark,Seochon · Gyeongbokgung,Day 12,hours unknown,,reservable (Kakao),서울 종로구 세종로 1-68,02-120,37.572389,126.97691169999999,https://maps.google.com/?cid=16813526255109441016,https://place.map.kakao.com/8193961
162,Common Ground,커먼그라운드,shop,Shopping mall,Seongsu,Day 4,Daily 00:00–24:00,,,서울 광진구 아차산로 200 (자양동),+82 2-467-2747,37.541151299999996,127.0659498,https://maps.google.com/?cid=9603951460118772706,https://place.map.kakao.com/689084145
163,Oreno Ramen Main Store,오레노라멘 본점,food,Ramen restaurant,Hapjeong · Mangwon,Day 3,Daily 11:00–22:00,,,서울 마포구 독막로8길 16 1층 (합정동),02-322-3539,37.5472593,126.91781089999999,https://maps.google.com/?cid=9756630378876709551,https://place.map.kakao.com/1916682638
164,Dragon Hill Lodge,드래곤힐 랏지,hotel,Hotel,Yongsan · Itaewon · Hannam,,Front desk 24h · check-in 15:00 · check-out 12:00,,,"용산기지 드래곤힐 랏지 (서울 용산구 용산동4가 1-10) — local taxis: Gate 1, Samgakji Stn exit 13",+82 2-790-0016,37.532148,126.98114659999999,https://maps.google.com/?cid=11374096945233467411,
